FILM, POSTING, CRITIC, AUDIENCE, GENRE
The Homesman, Streaming Feb 2; 2015, 81%, 53%, western
The Power of the Dog, Streaming Dec 1; 2021, 94%, 76%, western
Strange Way of Life, Streaming Feb 13; 2024, 76%, 55%, western
The Hateful Eight, Streaming Mar 2; 2017, 75%, 77%, western
Butcher's Crossing, Streaming Nov 7; 2023, 74%, 47%, western
Hell or High Water, Streaming Nov 8; 2016, 97%, 88%, western
The Revenant, Streaming Mar 22; 2016, 78%, 84%, western
Django Unchained, Streaming Mar 24; 2017, 87%, 92%, western
Bone Tomahawk, Streaming Mar 11; 2017, 91%, 74%, western
The Ballad of Buster Scruggs, Streaming Nov 16; 2018, 89%, 78%, western
